Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00043 PSNR=13.482, SSIM=0.4946 pre_time:0.004s, forward_time:0.012s, post_time:0.041s, total_time:0.057s, prior_image:True
> 00044 PSNR=13.196, SSIM=0.4869 pre_time:0.004s, forward_time:0.012s, post_time:0.059s, total_time:0.075s, prior_image:True
> 00045 PSNR=14.289, SSIM=0.4959 pre_time:0.004s, forward_time:0.012s, post_time:0.055s, total_time:0.071s, prior_image:True
> 00046 PSNR=13.185, SSIM=0.4787 pre_time:0.009s, forward_time:0.012s, post_time:0.006s, total_time:0.027s, prior_image:True
> 00047 PSNR=13.054, SSIM=0.5181 pre_time:0.004s, forward_time:0.012s, post_time:0.039s, total_time:0.056s, prior_image:True
> 00048 PSNR=13.001, SSIM=0.5353 pre_time:0.007s, forward_time:0.013s, post_time:0.059s, total_time:0.080s, prior_image:True
> 00049 PSNR=14.196, SSIM=0.5451 pre_time:0.004s, forward_time:0.012s, post_time:0.030s, total_time:0.047s, prior_image:True
> 00050 PSNR=14.172, SSIM=0.5747 pre_time:0.004s, forward_time:0.012s, post_time:0.065s, total_time:0.082s, prior_image:True
> 00051 PSNR=13.978, SSIM=0.5749 pre_time:0.005s, forward_time:0.012s, post_time:0.051s, total_time:0.068s, prior_image:True
> 00052 PSNR=13.725, SSIM=0.5674 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00053 PSNR=13.611, SSIM=0.5616 pre_time:0.004s, forward_time:0.012s, post_time:0.058s, total_time:0.074s, prior_image:True
> 00054 PSNR=13.427, SSIM=0.5552 pre_time:0.005s, forward_time:0.014s, post_time:0.054s, total_time:0.073s, prior_image:True
> 00055 PSNR=13.288, SSIM=0.5526 pre_time:0.004s, forward_time:0.012s, post_time:0.041s, total_time:0.057s, prior_image:True
> 00056 PSNR=12.229, SSIM=0.4682 pre_time:0.003s, forward_time:0.011s, post_time:0.005s, total_time:0.020s, prior_image:True
> 00000 PSNR=19.922, SSIM=0.6221 pre_time:0.005s, forward_time:0.017s, post_time:0.050s, total_time:0.072s, prior_image:False
> 00001 PSNR=19.873, SSIM=0.6232 pre_time:0.004s, forward_time:0.012s, post_time:0.037s, total_time:0.052s, prior_image:True
> 00002 PSNR=19.727, SSIM=0.6216 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00003 PSNR=19.458, SSIM=0.6151 pre_time:0.004s, forward_time:0.012s, post_time:0.039s, total_time:0.054s, prior_image:True
> 00004 PSNR=19.085, SSIM=0.6014 pre_time:0.003s, forward_time:0.012s, post_time:0.026s, total_time:0.041s, prior_image:True
> 00005 PSNR=18.673, SSIM=0.6127 pre_time:0.129s, forward_time:0.012s, post_time:0.072s, total_time:0.212s, prior_image:True
> 00006 PSNR=18.134, SSIM=0.5905 pre_time:0.005s, forward_time:0.012s, post_time:0.033s, total_time:0.051s, prior_image:True
> 00007 PSNR=17.683, SSIM=0.5820 pre_time:0.008s, forward_time:0.013s, post_time:0.065s, total_time:0.087s, prior_image:True
> 00008 PSNR=17.283, SSIM=0.5817 pre_time:0.006s, forward_time:0.012s, post_time:0.048s, total_time:0.066s, prior_image:True
> 00009 PSNR=15.777, SSIM=0.5062 pre_time:0.005s, forward_time:0.013s, post_time:0.045s, total_time:0.064s, prior_image:True
> 00010 PSNR=14.830, SSIM=0.4620 pre_time:0.017s, forward_time:0.012s, post_time:0.048s, total_time:0.078s, prior_image:True
> 00011 PSNR=14.765, SSIM=0.4820 pre_time:0.004s, forward_time:0.012s, post_time:0.007s, total_time:0.024s, prior_image:True
> 00012 PSNR=14.778, SSIM=0.5059 pre_time:0.005s, forward_time:0.012s, post_time:0.007s, total_time:0.024s, prior_image:True
> 00013 PSNR=14.714, SSIM=0.5246 pre_time:0.005s, forward_time:0.013s, post_time:0.035s, total_time:0.053s, prior_image:True
> 00014 PSNR=14.494, SSIM=0.5035 pre_time:0.005s, forward_time:0.012s, post_time:0.041s, total_time:0.058s, prior_image:True
> 00015 PSNR=14.599, SSIM=0.5274 pre_time:0.005s, forward_time:0.013s, post_time:0.041s, total_time:0.059s, prior_image:True
> 00016 PSNR=14.661, SSIM=0.5477 pre_time:0.006s, forward_time:0.013s, post_time:0.038s, total_time:0.057s, prior_image:True
> 00017 PSNR=14.814, SSIM=0.5715 pre_time:0.005s, forward_time:0.012s, post_time:0.025s, total_time:0.043s, prior_image:True
> 00018 PSNR=14.958, SSIM=0.5837 pre_time:0.005s, forward_time:0.012s, post_time:0.022s, total_time:0.039s, prior_image:True
> 00019 PSNR=14.990, SSIM=0.5529 pre_time:0.004s, forward_time:0.012s, post_time:0.058s, total_time:0.073s, prior_image:True
> 00020 PSNR=15.142, SSIM=0.5844 pre_time:0.005s, forward_time:0.013s, post_time:0.186s, total_time:0.204s, prior_image:True
> 00021 PSNR=15.271, SSIM=0.6048 pre_time:0.006s, forward_time:0.013s, post_time:0.064s, total_time:0.082s, prior_image:True
> 00022 PSNR=15.390, SSIM=0.6214 pre_time:0.008s, forward_time:0.014s, post_time:0.052s, total_time:0.074s, prior_image:True
> 00023 PSNR=15.471, SSIM=0.6340 pre_time:0.186s, forward_time:0.013s, post_time:0.109s, total_time:0.309s, prior_image:True
> 00024 PSNR=15.532, SSIM=0.6373 pre_time:0.007s, forward_time:0.013s, post_time:0.049s, total_time:0.068s, prior_image:True
> 00025 PSNR=15.164, SSIM=0.5887 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00026 PSNR=15.366, SSIM=0.6102 pre_time:0.006s, forward_time:0.012s, post_time:0.053s, total_time:0.071s, prior_image:True
> 00027 PSNR=15.482, SSIM=0.6316 pre_time:0.007s, forward_time:0.014s, post_time:0.038s, total_time:0.059s, prior_image:True
> 00028 PSNR=15.607, SSIM=0.6363 pre_time:0.006s, forward_time:0.012s, post_time:0.056s, total_time:0.074s, prior_image:True
> 00029 PSNR=15.969, SSIM=0.6620 pre_time:0.005s, forward_time:0.012s, post_time:0.050s, total_time:0.068s, prior_image:True
> 00030 PSNR=15.607, SSIM=0.6333 pre_time:0.005s, forward_time:0.013s, post_time:0.071s, total_time:0.088s, prior_image:True
> 00031 PSNR=15.300, SSIM=0.6173 pre_time:0.005s, forward_time:0.012s, post_time:0.082s, total_time:0.099s, prior_image:True
> 00032 PSNR=14.953, SSIM=0.6264 pre_time:0.005s, forward_time:0.012s, post_time:0.007s, total_time:0.024s, prior_image:True
