Inference - 20221211_17.04
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_17.04
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00023 PSNR=19.224, SSIM=0.7172 pre_time:0.021s, forward_time:0.026s, post_time:0.013s, total_time:0.060s
> 00024 PSNR=19.373, SSIM=0.7226 pre_time:0.053s, forward_time:0.026s, post_time:0.013s, total_time:0.091s
> 00025 PSNR=19.638, SSIM=0.7346 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s
> 00026 PSNR=20.016, SSIM=0.7458 pre_time:0.049s, forward_time:0.026s, post_time:0.012s, total_time:0.088s
> 00027 PSNR=20.187, SSIM=0.7622 pre_time:0.046s, forward_time:0.026s, post_time:0.013s, total_time:0.085s
> 00028 PSNR=20.155, SSIM=0.7574 pre_time:0.030s, forward_time:0.026s, post_time:0.013s, total_time:0.070s
> 00029 PSNR=20.070, SSIM=0.7652 pre_time:0.018s, forward_time:0.026s, post_time:0.014s, total_time:0.058s
> 00030 PSNR=19.793, SSIM=0.7587 pre_time:0.023s, forward_time:0.025s, post_time:0.014s, total_time:0.063s
> 00031 PSNR=19.468, SSIM=0.7401 pre_time:0.006s, forward_time:0.024s, post_time:0.013s, total_time:0.043s
> 00032 PSNR=19.017, SSIM=0.7209 pre_time:0.038s, forward_time:0.024s, post_time:0.012s, total_time:0.075s
> 00033 PSNR=18.819, SSIM=0.7020 pre_time:0.023s, forward_time:0.024s, post_time:0.013s, total_time:0.060s
> 00034 PSNR=19.061, SSIM=0.6984 pre_time:0.021s, forward_time:0.024s, post_time:0.012s, total_time:0.057s
> 00035 PSNR=18.845, SSIM=0.6867 pre_time:0.029s, forward_time:0.024s, post_time:0.012s, total_time:0.064s
> 00036 PSNR=18.975, SSIM=0.6985 pre_time:0.020s, forward_time:0.024s, post_time:0.012s, total_time:0.056s
> 00037 PSNR=19.580, SSIM=0.7210 pre_time:0.021s, forward_time:0.024s, post_time:0.013s, total_time:0.057s
> 00038 PSNR=20.514, SSIM=0.7497 pre_time:0.036s, forward_time:0.024s, post_time:0.012s, total_time:0.072s
> 00039 PSNR=21.953, SSIM=0.7832 pre_time:0.038s, forward_time:0.024s, post_time:0.012s, total_time:0.074s
> 00040 PSNR=22.828, SSIM=0.8142 pre_time:0.005s, forward_time:0.023s, post_time:0.013s, total_time:0.041s
> 00041 PSNR=20.318, SSIM=0.7741 pre_time:0.004s, forward_time:0.023s, post_time:0.013s, total_time:0.040s
> 00042 PSNR=18.765, SSIM=0.7300 pre_time:0.006s, forward_time:0.024s, post_time:0.012s, total_time:0.042s
> 00043 PSNR=18.037, SSIM=0.6979 pre_time:0.021s, forward_time:0.023s, post_time:0.013s, total_time:0.057s
> 00044 PSNR=18.085, SSIM=0.6808 pre_time:0.040s, forward_time:0.023s, post_time:0.012s, total_time:0.076s
> 00045 PSNR=18.590, SSIM=0.6826 pre_time:0.045s, forward_time:0.023s, post_time:0.013s, total_time:0.081s
> 00046 PSNR=17.866, SSIM=0.6848 pre_time:0.005s, forward_time:0.024s, post_time:0.014s, total_time:0.043s
> 00047 PSNR=18.014, SSIM=0.7049 pre_time:0.016s, forward_time:0.023s, post_time:0.012s, total_time:0.052s
> 00048 PSNR=18.654, SSIM=0.7429 pre_time:0.049s, forward_time:0.022s, post_time:0.014s, total_time:0.084s
> 00049 PSNR=20.053, SSIM=0.7511 pre_time:0.005s, forward_time:0.021s, post_time:0.013s, total_time:0.039s
> 00050 PSNR=20.626, SSIM=0.7699 pre_time:0.016s, forward_time:0.022s, post_time:0.012s, total_time:0.050s
> 00051 PSNR=20.594, SSIM=0.7666 pre_time:0.039s, forward_time:0.021s, post_time:0.013s, total_time:0.073s
> 00052 PSNR=20.246, SSIM=0.7698 pre_time:0.014s, forward_time:0.021s, post_time:0.013s, total_time:0.048s
> 00053 PSNR=20.280, SSIM=0.7743 pre_time:0.005s, forward_time:0.021s, post_time:0.012s, total_time:0.038s
> 00054 PSNR=20.039, SSIM=0.7733 pre_time:0.004s, forward_time:0.021s, post_time:0.013s, total_time:0.038s
> 00055 PSNR=20.150, SSIM=0.7760 pre_time:0.005s, forward_time:0.021s, post_time:0.012s, total_time:0.038s
> 00056 PSNR=18.595, SSIM=0.7632 pre_time:0.028s, forward_time:0.019s, post_time:0.013s, total_time:0.059s
> 00000 PSNR=21.872, SSIM=0.7490 pre_time:0.072s, forward_time:0.020s, post_time:0.013s, total_time:0.105s
> 00001 PSNR=22.007, SSIM=0.7607 pre_time:0.044s, forward_time:0.019s, post_time:0.013s, total_time:0.076s
> 00002 PSNR=21.901, SSIM=0.7614 pre_time:0.022s, forward_time:0.019s, post_time:0.013s, total_time:0.055s
> 00003 PSNR=22.157, SSIM=0.7697 pre_time:0.050s, forward_time:0.019s, post_time:0.012s, total_time:0.081s
> 00004 PSNR=21.850, SSIM=0.7587 pre_time:0.030s, forward_time:0.019s, post_time:0.013s, total_time:0.062s
> 00005 PSNR=22.003, SSIM=0.7724 pre_time:0.036s, forward_time:0.019s, post_time:0.013s, total_time:0.069s
> 00006 PSNR=21.230, SSIM=0.7661 pre_time:0.006s, forward_time:0.019s, post_time:0.015s, total_time:0.039s
> 00007 PSNR=21.160, SSIM=0.7720 pre_time:0.020s, forward_time:0.019s, post_time:0.013s, total_time:0.052s
> 00008 PSNR=21.475, SSIM=0.7814 pre_time:0.037s, forward_time:0.019s, post_time:0.012s, total_time:0.068s
> 00009 PSNR=21.050, SSIM=0.7666 pre_time:0.034s, forward_time:0.019s, post_time:0.014s, total_time:0.067s
> 00010 PSNR=21.165, SSIM=0.7576 pre_time:0.020s, forward_time:0.019s, post_time:0.012s, total_time:0.051s
> 00011 PSNR=21.667, SSIM=0.7631 pre_time:0.034s, forward_time:0.019s, post_time:0.012s, total_time:0.065s
> 00012 PSNR=22.135, SSIM=0.7724 pre_time:0.046s, forward_time:0.019s, post_time:0.012s, total_time:0.077s
