Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00031 PSNR=20.692, SSIM=0.7734 pre_time:0.006s, forward_time:0.026s, post_time:0.012s, total_time:0.044s, prior_image:False
> 00032 PSNR=20.285, SSIM=0.7579 pre_time:0.004s, forward_time:0.026s, post_time:0.050s, total_time:0.080s, prior_image:False
> 00033 PSNR=19.697, SSIM=0.7440 pre_time:0.005s, forward_time:0.026s, post_time:0.107s, total_time:0.138s, prior_image:False
> 00034 PSNR=19.291, SSIM=0.7414 pre_time:0.004s, forward_time:0.026s, post_time:0.013s, total_time:0.043s, prior_image:False
> 00035 PSNR=19.049, SSIM=0.7342 pre_time:0.005s, forward_time:0.026s, post_time:0.050s, total_time:0.081s, prior_image:False
> 00000 PSNR=18.935, SSIM=0.7115 pre_time:0.006s, forward_time:0.026s, post_time:0.065s, total_time:0.097s, prior_image:False
> 00001 PSNR=18.787, SSIM=0.7052 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00002 PSNR=19.248, SSIM=0.7196 pre_time:0.005s, forward_time:0.027s, post_time:0.041s, total_time:0.072s, prior_image:False
> 00003 PSNR=19.028, SSIM=0.7067 pre_time:0.005s, forward_time:0.026s, post_time:0.058s, total_time:0.088s, prior_image:False
> 00004 PSNR=18.971, SSIM=0.7016 pre_time:0.008s, forward_time:0.026s, post_time:0.029s, total_time:0.063s, prior_image:False
> 00005 PSNR=19.032, SSIM=0.7051 pre_time:0.004s, forward_time:0.026s, post_time:0.057s, total_time:0.086s, prior_image:False
> 00006 PSNR=19.324, SSIM=0.6965 pre_time:0.005s, forward_time:0.026s, post_time:0.045s, total_time:0.076s, prior_image:False
> 00007 PSNR=19.143, SSIM=0.6956 pre_time:0.005s, forward_time:0.026s, post_time:0.064s, total_time:0.095s, prior_image:False
> 00008 PSNR=19.111, SSIM=0.6938 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.045s, prior_image:False
> 00009 PSNR=19.134, SSIM=0.6974 pre_time:0.007s, forward_time:0.026s, post_time:0.109s, total_time:0.141s, prior_image:False
> 00010 PSNR=18.700, SSIM=0.6987 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.045s, prior_image:False
> 00011 PSNR=18.410, SSIM=0.7005 pre_time:0.004s, forward_time:0.026s, post_time:0.058s, total_time:0.088s, prior_image:False
> 00012 PSNR=18.350, SSIM=0.7059 pre_time:0.005s, forward_time:0.026s, post_time:0.049s, total_time:0.080s, prior_image:False
> 00013 PSNR=18.380, SSIM=0.7063 pre_time:0.006s, forward_time:0.026s, post_time:1.087s, total_time:1.119s, prior_image:False
> 00014 PSNR=18.080, SSIM=0.7015 pre_time:0.166s, forward_time:0.026s, post_time:0.762s, total_time:0.954s, prior_image:False
> 00015 PSNR=18.145, SSIM=0.7015 pre_time:0.004s, forward_time:0.026s, post_time:0.064s, total_time:0.094s, prior_image:False
> 00016 PSNR=18.259, SSIM=0.7051 pre_time:0.006s, forward_time:0.026s, post_time:0.039s, total_time:0.071s, prior_image:False
> 00017 PSNR=18.448, SSIM=0.7031 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.045s, prior_image:False
> 00018 PSNR=17.867, SSIM=0.6893 pre_time:0.076s, forward_time:0.026s, post_time:0.045s, total_time:0.147s, prior_image:False
> 00019 PSNR=18.007, SSIM=0.6837 pre_time:0.006s, forward_time:0.026s, post_time:0.070s, total_time:0.101s, prior_image:False
> 00020 PSNR=18.548, SSIM=0.6963 pre_time:0.006s, forward_time:0.026s, post_time:0.058s, total_time:0.090s, prior_image:False
> 00021 PSNR=18.741, SSIM=0.7030 pre_time:0.014s, forward_time:0.026s, post_time:0.045s, total_time:0.085s, prior_image:False
> 00022 PSNR=18.934, SSIM=0.7105 pre_time:0.005s, forward_time:0.026s, post_time:0.044s, total_time:0.075s, prior_image:False
> 00023 PSNR=19.224, SSIM=0.7172 pre_time:0.006s, forward_time:0.026s, post_time:0.031s, total_time:0.062s, prior_image:False
> 00024 PSNR=19.373, SSIM=0.7226 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00025 PSNR=19.638, SSIM=0.7346 pre_time:0.006s, forward_time:0.026s, post_time:0.012s, total_time:0.044s, prior_image:False
> 00026 PSNR=20.016, SSIM=0.7458 pre_time:0.004s, forward_time:0.026s, post_time:0.014s, total_time:0.044s, prior_image:False
> 00027 PSNR=20.187, SSIM=0.7622 pre_time:0.414s, forward_time:0.026s, post_time:0.017s, total_time:0.457s, prior_image:False
> 00028 PSNR=20.155, SSIM=0.7574 pre_time:0.011s, forward_time:0.026s, post_time:0.014s, total_time:0.050s, prior_image:False
> 00029 PSNR=20.070, SSIM=0.7652 pre_time:0.008s, forward_time:0.026s, post_time:0.053s, total_time:0.086s, prior_image:False
> 00030 PSNR=19.793, SSIM=0.7587 pre_time:0.009s, forward_time:0.026s, post_time:0.044s, total_time:0.079s, prior_image:False
> 00031 PSNR=19.468, SSIM=0.7401 pre_time:0.007s, forward_time:0.026s, post_time:0.013s, total_time:0.046s, prior_image:False
> 00032 PSNR=19.017, SSIM=0.7209 pre_time:0.033s, forward_time:0.026s, post_time:0.012s, total_time:0.070s, prior_image:False
> 00033 PSNR=18.819, SSIM=0.7020 pre_time:0.004s, forward_time:0.026s, post_time:0.069s, total_time:0.099s, prior_image:False
