Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00034 PSNR=19.487, SSIM=0.7212 pre_time:0.009s, forward_time:0.017s, post_time:0.006s, total_time:0.032s, prior_image:False
> 00035 PSNR=18.953, SSIM=0.6633 pre_time:0.012s, forward_time:0.017s, post_time:0.037s, total_time:0.066s, prior_image:False
> 00000 PSNR=17.230, SSIM=0.6385 pre_time:0.011s, forward_time:0.017s, post_time:0.084s, total_time:0.112s, prior_image:False
> 00001 PSNR=17.039, SSIM=0.6260 pre_time:0.005s, forward_time:0.017s, post_time:0.064s, total_time:0.087s, prior_image:False
> 00002 PSNR=17.288, SSIM=0.6351 pre_time:0.004s, forward_time:0.017s, post_time:0.047s, total_time:0.068s, prior_image:False
> 00003 PSNR=17.219, SSIM=0.6352 pre_time:0.018s, forward_time:0.017s, post_time:0.073s, total_time:0.109s, prior_image:False
> 00004 PSNR=17.239, SSIM=0.6183 pre_time:0.004s, forward_time:0.017s, post_time:0.015s, total_time:0.036s, prior_image:False
> 00005 PSNR=17.253, SSIM=0.6101 pre_time:0.004s, forward_time:0.017s, post_time:0.062s, total_time:0.084s, prior_image:False
> 00006 PSNR=16.949, SSIM=0.6049 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00007 PSNR=16.803, SSIM=0.5935 pre_time:0.004s, forward_time:0.017s, post_time:0.046s, total_time:0.067s, prior_image:False
> 00008 PSNR=16.545, SSIM=0.5804 pre_time:0.004s, forward_time:0.017s, post_time:0.071s, total_time:0.093s, prior_image:False
> 00009 PSNR=16.215, SSIM=0.5689 pre_time:0.004s, forward_time:0.017s, post_time:0.007s, total_time:0.028s, prior_image:False
