Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00006 PSNR=19.769, SSIM=0.6752 pre_time:0.004s, forward_time:0.016s, post_time:0.042s, total_time:0.062s, prior_image:True
> 00007 PSNR=19.631, SSIM=0.6735 pre_time:0.022s, forward_time:0.016s, post_time:0.051s, total_time:0.089s, prior_image:True
> 00008 PSNR=19.508, SSIM=0.6700 pre_time:0.005s, forward_time:0.016s, post_time:0.052s, total_time:0.073s, prior_image:True
> 00009 PSNR=17.411, SSIM=0.5617 pre_time:0.006s, forward_time:0.016s, post_time:0.012s, total_time:0.034s, prior_image:True
> 00010 PSNR=16.285, SSIM=0.5289 pre_time:0.004s, forward_time:0.016s, post_time:0.037s, total_time:0.056s, prior_image:True
> 00011 PSNR=17.059, SSIM=0.5800 pre_time:0.018s, forward_time:0.017s, post_time:0.045s, total_time:0.080s, prior_image:True
> 00012 PSNR=17.696, SSIM=0.6078 pre_time:0.004s, forward_time:0.016s, post_time:0.049s, total_time:0.069s, prior_image:True
> 00013 PSNR=18.280, SSIM=0.6408 pre_time:0.005s, forward_time:0.016s, post_time:0.023s, total_time:0.044s, prior_image:True
> 00014 PSNR=17.314, SSIM=0.5846 pre_time:0.005s, forward_time:0.016s, post_time:0.065s, total_time:0.085s, prior_image:True
> 00015 PSNR=18.042, SSIM=0.6243 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00016 PSNR=18.558, SSIM=0.6516 pre_time:0.004s, forward_time:0.016s, post_time:0.042s, total_time:0.062s, prior_image:True
> 00017 PSNR=18.979, SSIM=0.6777 pre_time:0.004s, forward_time:0.016s, post_time:0.063s, total_time:0.083s, prior_image:True
